date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:51	19975/19975	---M-Z	200	added ('OK')	application/javascript	etag:%224e07-5497ed00d2058-gzip%22	http://maniac.yakuzi.eu/assets/plugins/switchery/switchery.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/switchery/switchery.min.js	(from http://maniac.yakuzi.eu/login.html)
13:07:51	188508/188508	---M--	200	added ('OK')	application/font-sfnt	etag:%222e05c-5497ecf2928ca%22	http://maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons.ttf?v=2.0.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ionicons/fonts/ionicons28b5.ttf	(from http://maniac.yakuzi.eu/assets/plugins/ionicons/css/ionicons.min.css)
13:07:51	3082/3082	---M-Z	200	added ('OK')	text/css	etag:%22c0a-5497ec480748a-gzip%22	http://maniac.yakuzi.eu/assets/css/color-palettes.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/css/color-palettes.css	(from http://maniac.yakuzi.eu/material.html)
13:07:52	3355/3355	---M-Z	200	added ('OK')	text/css	etag:%22d1b-5497ecebd0134-gzip%22	http://maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/css/ion.rangeSlider.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/css/ion.rangeSlider.css	(from http://maniac.yakuzi.eu/sliders.html)
13:07:52	2206/2206	---M-Z	200	added ('OK')	text/css	etag:%2289e-5497ecebfdf95-gzip%22	http://maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/css/ion.rangeSlider.skinFlat.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/css/ion.rangeSlider.skinFlat.css	(from http://maniac.yakuzi.eu/sliders.html)
13:07:53	33459/33459	---M-Z	200	added ('OK')	application/javascript	etag:%2282b3-5497ecef806a0-gzip%22	http://maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/js/ion-rangeSlider/ion.rangeSlider.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/js/ion-rangeSlider/ion.rangeSlider.min.js	(from http://maniac.yakuzi.eu/sliders.html)
13:07:53	10804/10804	---M-Z	200	added ('OK')	application/javascript	etag:%222a34-5497ecf81e79c-gzip%22	http://maniac.yakuzi.eu/assets/plugins/jquery-knob/jquery.knob.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/jquery-knob/jquery.knob.min.js	(from http://maniac.yakuzi.eu/sliders.html)
13:07:53	3578/3578	---M-Z	200	added ('OK')	text/css	etag:%22dfa-5497ec5648b1d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:54	4953/4953	---M-Z	200	added ('OK')	text/css	etag:%221359-5497ecb917a84-gzip%22	http://maniac.yakuzi.eu/assets/plugins/datepicker/css/datepicker.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/datepicker/css/datepicker.css	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:54	122092/122092	---M--	200	added ('OK')	application/font-sfnt	etag:%221dcec-5497ecc740ab7%22	http://maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://maniac.yakuzi.eu/assets/plugins/font-awesome/css/font-awesome.min.css)
13:07:54	5686/5686	---M-Z	200	added ('OK')	text/css	etag:%221636-5497ec5c4db57-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-select/css/bootstrap-select.min.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-select/css/bootstrap-select.min.css	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:54	1568/1568	---M-Z	200	added ('OK')	text/css	etag:%22620-5497ecd248e5e-gzip%22	http://maniac.yakuzi.eu/assets/plugins/iCheck/skins/all.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/iCheck/skins/all.css	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:55	90575/90575	---M-Z	200	added ('OK')	application/javascript	etag:%22161cf-5497ece98622d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:55	22814/22814	---M-Z	200	added ('OK')	application/javascript	etag:%22591e-5497ece90ff8b-gzip%22	http://maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.date.extensions.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.date.extensions.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:55	9118/9118	---M-Z	200	added ('OK')	application/javascript	etag:%22239e-5497ece9b9e4d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.numeric.extensions.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/input-mask/jquery.inputmask.numeric.extensions.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:55	13776/13776	---M-Z	200	added ('OK')	application/javascript	etag:%2235d0-5497ecb9ad126-gzip%22	http://maniac.yakuzi.eu/assets/plugins/datepicker/js/bootstrap-datepicker.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/datepicker/js/bootstrap-datepicker.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:56	17189/17189	---M-Z	200	added ('OK')	application/javascript	etag:%224325-5497ec59399fa-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.min.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:56	23382/23382	---M-Z	200	added ('OK')	application/javascript	etag:%225b56-5497ec5dcf736-gzip%22	http://maniac.yakuzi.eu/assets/plugins/bootstrap-select/js/bootstrap-select.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/bootstrap-select/js/bootstrap-select.min.js	(from http://maniac.yakuzi.eu/form-advanced.html)
13:07:56	4931/4931	---M-Z	200	added ('OK')	application/javascript	etag:%221343-5497ecd1cdd9c-gzip%22	http://maniac.yakuzi.eu/assets/plugins/iCheck/icheck.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/iCheck/icheck.min.js	(from http://maniac.yakuzi.eu/form-advanced.html)
